,gripper,time
0,False,1727269601770015994
1,False,1727269601780038479
2,False,1727269601790078190
3,False,1727269601800069669
4,False,1727269601810374405
5,False,1727269601820546762
6,False,1727269601830751641
7,False,1727269601841162137
8,False,1727269601851339123
9,False,1727269601861467093
10,False,1727269601871608377
11,False,1727269601881804190
12,False,1727269601892273764
13,False,1727269601902498027
14,False,1727269601912833113
15,False,1727269601923075834
16,False,1727269601933516082
17,False,1727269601944108971
18,False,1727269601954477928
19,False,1727269601964774015
20,False,1727269601975500768
21,False,1727269601985693474
22,False,1727269601996172137
23,False,1727269602006543947
24,False,1727269602016629561
25,False,1727269602027220059
26,False,1727269602038128602
27,False,1727269602048522445
28,False,1727269602058612114
29,False,1727269602068848088
30,False,1727269602079487758
31,False,1727269602090099807
32,False,1727269602101017327
33,False,1727269602111520626
34,False,1727269602122407542
35,False,1727269602133177421
36,False,1727269602143568191
37,False,1727269602154274462
38,False,1727269602164495968
39,False,1727269602174600708
40,False,1727269602185087999
41,False,1727269602195287233
42,False,1727269602205461239
43,False,1727269602215664495
44,False,1727269602226215923
45,False,1727269602236471658
46,False,1727269602246708895
47,False,1727269602257183251
48,False,1727269602267452574
49,False,1727269602278120071
50,False,1727269602288444419
51,False,1727269602298594028
52,False,1727269602309293556
53,False,1727269602319382972
54,False,1727269602330215304
55,False,1727269602340609045
56,False,1727269602351169530
57,False,1727269602361622385
58,False,1727269602372782432
59,False,1727269602383504490
60,False,1727269602394283449
61,False,1727269602404966924
62,False,1727269602415605946
63,False,1727269602426338463
64,False,1727269602437032074
65,False,1727269602447709757
66,False,1727269602458439265
67,False,1727269602469137926
68,False,1727269602479769082
69,False,1727269602490448712
70,False,1727269602501040289
71,False,1727269602511564277
72,False,1727269602522195248
73,False,1727269602532336140
74,False,1727269602543522066
75,False,1727269602554213504
76,False,1727269602564401485
77,False,1727269602575101319
78,False,1727269602586128282
79,False,1727269602596501472
80,False,1727269602606674740
81,False,1727269602617520011
82,False,1727269602627704654
83,False,1727269602638580287
84,False,1727269602649218698
85,False,1727269602659301258
86,False,1727269602669471163
87,False,1727269602680497933
88,False,1727269602691049638
89,False,1727269602701467473
90,False,1727269602712386689
91,False,1727269602722559660
92,False,1727269602732720562
93,False,1727269602743436431
