,gripper,time
0,False,1727274865194544841
1,False,1727274865288645572
2,False,1727274865392033914
3,False,1727274865496282671
4,False,1727274865600002961
5,False,1727274865703520726
6,False,1727274865807582178
7,False,1727274865910339397
8,False,1727274866013686294
9,False,1727274866116386067
10,True,1727274867625376207
11,True,1727274867729291559
12,True,1727274867835371273
13,True,1727274867939647357
14,True,1727274868044035506
15,True,1727274868147800817
16,True,1727274868252900678
17,True,1727274868358605810
18,True,1727274868464316003
19,True,1727274868568914665
20,False,1727274869746829742
21,False,1727274869851239706
22,False,1727274869955601134
23,False,1727274870059833505
24,False,1727274870164844402
25,False,1727274870270019181
26,False,1727274870375704094
27,False,1727274870480922336
28,False,1727274870584653518
29,False,1727274870688448962
30,False,1727274870792669237
31,True,1727274872252112355
32,True,1727274872357061282
33,True,1727274872460467713
34,True,1727274872564244644
35,True,1727274872668360431
36,True,1727274872772789927
37,True,1727274872876654542
38,True,1727274872980491830
39,True,1727274873084024506
40,False,1727274874406547871
41,False,1727274874511151658
42,False,1727274874616873871
43,False,1727274874721333466
44,False,1727274874825500388
45,False,1727274874929776472
46,False,1727274875034011877
47,False,1727274875137606042
48,False,1727274875241790013
49,False,1727274875345014787
50,False,1727274875450448704
51,False,1727274875554605507
52,False,1727274875659106708
53,False,1727274875762747691
54,False,1727274875868199566
55,False,1727274875973543801
56,False,1727274876078040127
57,False,1727274876182971943
58,False,1727274876286405075
59,False,1727274876390042723
60,False,1727274876495483271
61,False,1727274876600085858
62,False,1727274876705731560
63,False,1727274876810031788
64,False,1727274876914231821
65,False,1727274877019703354
66,False,1727274877124966318
67,False,1727274877229838441
68,False,1727274877333986573
69,False,1727274877437953720
70,False,1727274877541988346
71,False,1727274877645366364
72,False,1727274877750617911
73,False,1727274877854561444
74,False,1727274877958566648
75,False,1727274878061571311
76,False,1727274878166533441
77,False,1727274878270861580
78,False,1727274878374911508
79,False,1727274878480964409
80,False,1727274878584350254
81,False,1727274878689655686
82,False,1727274878796413969
83,False,1727274878902836943
84,False,1727274879007879187
85,False,1727274879111942585
86,False,1727274879215648562
87,False,1727274879319052317
88,False,1727274879424497156
89,False,1727274879529630824
90,False,1727274879633807297
91,False,1727274879738276899
92,False,1727274879842429431
93,False,1727274879946449962
94,False,1727274880050648474
95,False,1727274880155734651
96,False,1727274880260812879
97,False,1727274880366262905
98,False,1727274880470406792
99,False,1727274880575703745
100,False,1727274880679021606
101,False,1727274880783097452
102,False,1727274880885995514
103,False,1727274880989811519
104,False,1727274881094008121
105,False,1727274881199714043
106,False,1727274881304882710
107,False,1727274881409751762
108,False,1727274881514861741
109,False,1727274881621509948
110,False,1727274881726871364
111,False,1727274881832896790
112,False,1727274881935723236
113,False,1727274882040177855
114,False,1727274882144740586
115,False,1727274882249829663
116,False,1727274882355569073
117,False,1727274882460542825
118,False,1727274882566533817
119,False,1727274882669741192
120,False,1727274882774990959
121,False,1727274882879390748
122,False,1727274882986567073
123,False,1727274883090575942
124,False,1727274883194966947
125,False,1727274883299692288
126,False,1727274883403759042
127,False,1727274883507784241
128,False,1727274883611406702
129,False,1727274883716284245
130,False,1727274883821718956
131,False,1727274883926414647
132,False,1727274884030912620
133,False,1727274884135830118
134,False,1727274884240016744
135,False,1727274884344837553
136,False,1727274884448756097
137,False,1727274884552900161
138,False,1727274884657967102
139,False,1727274884763700886
140,False,1727274884867830715
141,False,1727274884972017864
142,False,1727274885078257228
143,False,1727274885182654882
